country_code,year,Country,Time,gdp_per_capita,primary_education,secondary_education,tertiary_education,adolescent_fertility
ZWE,YR2024,Zimbabwe,2024,2497.20332208763,93.0772110334414,,7.74912957845971,95.524
ZWE,YR2023,Zimbabwe,2023,2195.22492079245,93.2383787742938,,,98.057
ZWE,YR2022,Zimbabwe,2022,2536.40050223076,93.1659658731937,,,99.484
ZWE,YR2021,Zimbabwe,2021,2613.60542083552,92.7846905815791,,,99.199
ZWE,YR2020,Zimbabwe,2020,2059.67445384499,93.6125855639325,,,98.893
ZMB,YR2024,Zambia,2024,1187.10943350064,115.550919335782,56.7889289855957,,115.479
ZMB,YR2023,Zambia,2023,1330.72780576709,,,,115.907
ZMB,YR2022,Zambia,2022,1447.12310138035,,,,117.398
ZMB,YR2021,Zambia,2021,1127.16077872857,,,,118.744
ZMB,YR2020,Zambia,2020,951.644316655957,,,,120.712
YEM,YR2024,"Yemen, Rep.",2024,,,,,73.887
YEM,YR2023,"Yemen, Rep.",2023,,,,,75.328
YEM,YR2022,"Yemen, Rep.",2022,,,,,74.879
YEM,YR2021,"Yemen, Rep.",2021,,,,,74.54
YEM,YR2020,"Yemen, Rep.",2020,,,,,74.303
PSE,YR2024,West Bank and Gaza,2024,2592.30591217647,,,,35.326
PSE,YR2023,West Bank and Gaza,2023,3455.02852911712,91.4422361153306,89.1210984011759,44.4904623709098,36.043
PSE,YR2022,West Bank and Gaza,2022,3799.95527015163,91.451637200506,90.1364802874113,45.7982801281791,36.837
PSE,YR2021,West Bank and Gaza,2021,3678.63565662194,92.7029909386815,91.0094011735985,44.2081176768623,37.919
PSE,YR2020,West Bank and Gaza,2020,3233.56863835858,94.653084809438,90.2544056722155,45.3895360497376,38.946
VIR,YR2024,Virgin Islands (U.S.),2024,,,,,31.142
VIR,YR2023,Virgin Islands (U.S.),2023,,,,,31.777
VIR,YR2022,Virgin Islands (U.S.),2022,44320.909185774,,,,31.701
VIR,YR2021,Virgin Islands (U.S.),2021,42571.0777368471,,,,31.787
VIR,YR2020,Virgin Islands (U.S.),2020,39787.3741650202,,,,31.759
VNM,YR2024,Viet Nam,2024,4717.29028732449,106.332886485835,,37.5923642016718,33.948
VNM,YR2023,Viet Nam,2023,4323.35031982451,105.170807361038,,32.8415128147815,34.277
VNM,YR2022,Viet Nam,2022,4147.69777213621,104.129392785949,93.4123434096522,44.7536854027422,34.626
VNM,YR2021,Viet Nam,2021,3704.1935590038,103.391282723881,92.7690209240401,41.9554971195048,34.666
VNM,YR2020,Viet Nam,2020,3534.03953482647,102.847744602601,93.1921389514105,,35.03
VEN,YR2024,"Venezuela, RB",2024,4217.59102643391,113.693878173828,97.7908172607422,,73.189
VEN,YR2023,"Venezuela, RB",2023,3617.43594578269,111.130409240723,97.229606628418,,73.295
VEN,YR2022,"Venezuela, RB",2022,3155.04207099687,109.259559631348,96.7906723022461,,73.026
VEN,YR2021,"Venezuela, RB",2021,2004.93397949792,,,,73.384
VEN,YR2020,"Venezuela, RB",2020,1506.0436210041,,,,73.75
VUT,YR2024,Vanuatu,2024,3410.77023167097,112.491972007523,,,65.766
